,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
5093,Toyota, Aqua,2014,Automatic,Petrol,1500,102250,6175000
5094,Toyota, Soluna,2000,Automatic,Petrol,1500,150000,3050000
5095,Toyota, Vitz,2016,Automatic,Petrol,1000,34560,6450000
5097,Toyota, AXIO,2014,Automatic,Petrol,1500,96000,7690000
5098,Toyota, AXIO,2013,Automatic,Petrol,1500,85000,7290000
5100,Toyota, Passo,2016,Automatic,Petrol,1000,63000,5560000
5101,Toyota, Aqua,2013,Automatic,Petrol,1500,109000,5700000
5102,Toyota, Premio,2012,Automatic,Petrol,1500,116500,9550000
5103,Toyota, Passo,2007,Automatic,Petrol,1000,155000,3750000
5104,Toyota, Aqua,2013,Automatic,Petrol,1500,86260,6550000
5105,Toyota, Axio,2016,Automatic,Petrol,1500,80000,8950000
5106,Toyota, Vitz,2016,Automatic,Petrol,1000,55000,6975000
5107,Toyota, Carina,2000,Automatic,Petrol,1500,1234,5200000
5108,Toyota, Vitz,2016,Automatic,Petrol,1000,48000,6850000
5109,Toyota, Allion,2008,Automatic,Petrol,1500,138000,8350000
5111,Toyota, Vitz,2015,Automatic,Petrol,1000,70000,5975000
5112,Toyota, Axio,2016,Automatic,Petrol,1500,78000,9600000
5113,Toyota, Vios,2003,Automatic,Petrol,1500,189000,4125000
5115,Toyota, Vitz,2007,Automatic,Petrol,1000,120000,4750000
5116,Toyota, KDH,2007,Automatic,Diesel,3000,178000,8890000
5117,Toyota, Axio,2008,Automatic,Petrol,1500,132000,6250000
5118,Toyota, Estima,2009,Automatic,Petrol,2360,198000,9000000
5119,Toyota, Noah,2001,Automatic,Diesel,1780,300000,5150000
5121,Toyota, Aqua,2013,Automatic,Petrol,1500,37578,5950000
5124,Toyota, Aqua,2015,Automatic,Petrol,1500,93000,5850000
5125,Toyota, Aqua,2013,Automatic,Petrol,1500,85000,5750000
5130,Toyota, Axio,2016,Automatic,Petrol,1490,49000,10000000
5132,Toyota, Fielder,2002,Manual,Petrol,1500,250000,4325000
5133,Toyota, Allion,2006,Automatic,Petrol,1500,144000,6175000
5134,Toyota, Allion,2005,Automatic,Petrol,1500,123000,6150000
5135,Toyota, Prius,2012,Automatic,Petrol,1800,130000,850000
5136,Toyota, Tank,2017,Automatic,Petrol,1000,31000,7675000
5138,Toyota, Prius,2011,Automatic,Petrol,1800,105000,6025000
5141,Toyota, Aqua,2014,Automatic,Petrol,1500,114000,6250000
5142,Toyota, Axio,2015,Automatic,Petrol,1490,93055,9200000
5143,Toyota, Axio,2016,Automatic,Petrol,1490,75000,8750000
5144,Toyota, Premio,2008,Automatic,Petrol,1500,870000,8500000
5145,Toyota, IST,2008,Automatic,Petrol,1500,148000,6975000
5147,Toyota, Vitz,2017,Automatic,Petrol,1000,40000,7200000
5149,Toyota, Vios,2004,Automatic,Petrol,1500,1070000,4580000
5151,Toyota, Corolla,2003,Automatic,Petrol,1500,161000,4950000
5153,Toyota, Vitz,2017,Automatic,Petrol,1000,31690,8800000
5155,Toyota, Vios,2003,Automatic,Petrol,1500,165000,4060000
5158,Toyota, Aqua,2014,Automatic,Petrol,1500,140000,5750000
5159,Toyota, Aqua,2015,Automatic,Petrol,1500,108000,7050000
5160,Toyota, Prius,2007,Automatic,Petrol,1500,152000,4780000
5164,Toyota, Axio,2010,Automatic,Petrol,1500,117000,7500000
5165,Toyota, Aqua,2012,Automatic,Petrol,1500,96000,6290000
5166,Toyota, Vitz,2015,Automatic,Petrol,1000,46000,6650000
5167,Toyota, Aqua,2013,Automatic,Petrol,1500,58000,5300000
5168,Toyota, Vitz,2007,Automatic,Petrol,1000,142000,4575000
5169,Toyota, Aqua,2013,Automatic,Petrol,1500,77000,5900000
5170,Toyota, Axio,2015,Automatic,Petrol,1500,77000,8625000
5171,Toyota, Kdh,2005,Automatic,Diesel,2494,256000,8500000
5172,Toyota, Soluna,2001,Automatic,Petrol,1500,199999,2790000
5173,Toyota, Hilux,2009,Manual,Diesel,3000,118000,6500000
5174,Toyota, 2016,2016,Automatic,Petrol,1000,49000,6250000
5175,Toyota, Allion,2013,Automatic,Petrol,1499,85000,10550000
5176,Toyota, Aqua,2015,Automatic,Petrol,1500,104000,7500000
5177,Toyota, Aqua,2014,Automatic,Petrol,1500,133600,7100000
5178,Toyota, Vitz,2018,Automatic,Petrol,1000,32570,8275000
5179,Toyota, Axio,2016,Automatic,Petrol,1500,68000,9975000
5180,Toyota, Axio,2015,Automatic,Petrol,1500,61400,8550000
5181,Toyota, Kdh,2012,Automatic,Petrol,1990,168000,8850000
5182,Toyota, Vitz,2018,Automatic,Petrol,1000,32000,7850000
5183,Toyota, Rush,2011,Automatic,Petrol,1500,114000,8100000
5184,Toyota, Vitz,2018,Automatic,Petrol,1000,29000,7990000
5185,Toyota, Allion,2010,Automatic,Petrol,1500,97000,9150000
5186,Toyota, Prius,2012,Automatic,Petrol,1800,53000,5000000
5187,Toyota, AQUA,2016,Automatic,Petrol,1496,43300,7200000
5188,Toyota, Vitz,2008,Automatic,Petrol,1000,123977,4850000
5189,Toyota, VITZ,2015,Automatic,Petrol,1000,69446,6345000
5190,Toyota, Aqua,2012,Automatic,Petrol,1500,130000,5250000
5191,Toyota, Prius,2013,Automatic,Petrol,1800,123000,6750000
5193,Toyota, Corolla,2000,Automatic,Petrol,1500,172000,4995000
5194,Toyota, Avanza,2008,Manual,Petrol,1300,139000,4070000
5195,Toyota, Prius,2011,Automatic,Petrol,1800,139000,6675000
5196,Toyota, Prius,2012,Automatic,Petrol,1790,134566,7250000
5198,Toyota, Premio,2013,Automatic,Petrol,1490,79000,10300000
5199,Toyota, Allion,2003,Automatic,Petrol,1500,158900,5775000
5203,Toyota, Dolphin,2004,Automatic,Diesel,2950,69990,7200000
5204,Toyota, Axio,2015,Automatic,Petrol,1500,80000,9390000
5205,Toyota, Yaris,2008,Automatic,Petrol,1300,161000,5600000
5206,Toyota, Corolla,2008,Automatic,Petrol,1600,124000,5500000
5210,Toyota, Axio,2007,Automatic,Petrol,1500,128000,6850000
5212,Toyota, Prius,2012,Automatic,Petrol,1790,18000,7250000
5214,Toyota, Aqua,2013,Automatic,Petrol,1500,88000,6985000
5215,Toyota, Aqua,2013,Automatic,Petrol,1500,95000,6750000
5216,Toyota, AQUA,2013,Automatic,Petrol,1500,125000,5900000
5217,Toyota, Passo,2016,Automatic,Petrol,1000,29500,6725000
5218,Toyota, Dolphin,2000,Automatic,Diesel,2980,95000,5475000
5219,Toyota, Belta,2006,Automatic,Petrol,1000,127000,4995000
5221,Toyota, Vitz,2017,Automatic,Petrol,1000,250000,7850000
5222,Toyota, Aqua,2013,Automatic,Petrol,1500,68000,5800000
5223,Toyota, KDH,2007,Automatic,Diesel,2500,237000,9850000
5224,Toyota, Carina,2000,Automatic,Petrol,1500,154000,5250000
5226,Toyota, Carina,2000,Automatic,Petrol,1500,140000,4875000
5227,Toyota, Vitz,2017,Automatic,Petrol,1000,56000,6800000
5228,Toyota, Aqua,2013,Automatic,Petrol,1500,89991,6175000
5229,Toyota, Prius,2015,Automatic,Petrol,1800,77000,7790000
5230,Toyota, VITZ,2018,Automatic,Petrol,1000,40200,9175000
5231,Toyota, Premio,2005,Automatic,Petrol,1500,130000,6850000
5233,Toyota, AQUA,2015,Automatic,Petrol,1498,90000,7495000
5235,Toyota, Vitz,2018,Automatic,Petrol,1000,10000,7500000
5236,Toyota, Axio,2014,Automatic,Petrol,1500,89100,7590000
5237,Toyota, Aqua,2017,Automatic,Petrol,1500,65000,7750000
5238,Toyota, ,2001,Automatic,Petrol,1600,218000,4600000
5239,Toyota, KDH,2008,Automatic,Diesel,2990,45000,9950000
5240,Toyota, Prius,2012,Automatic,Petrol,1800,75000,8600000
5241,Toyota, KDH,2006,Manual,Diesel,2500,210000,8150000
5243,Toyota, Vitz,2007,Automatic,Petrol,1000,116000,4975000
5245,Toyota, Premio,2008,Automatic,Petrol,1500,125000,8000000
